,age,auto,experience_length,gender,salary,rus_citizenship,city_msk,city_spb,city_other,education_degree,full_employment,english_level,fullfillment,text
0,29,0,110,1,36000,1,0,0,1,0,0,1,846,"Внедрение и сопровождение ПО Главный специалист отдела скорингового моделирования Управления риск-менеджмента Построение и внедрение скоринговых моделей, внедрение anti-fraud правил (в т.ч. Local Hunter), взаимодействие с БКИ, mail, Megafon (ретровыборки, ТЗ на внедрение, оценка качества внешних моделей), винтажный анализ. Репетитор математики Подготовка школьников и студентов к итоговым работам, помощь по программе Инженер-программист Формирование excel-шаблонов отчетов для постановки ТЗ на внедрение программистам, обучение ПО Smeta.ru, работа с подрядными организациями, формирование единой сметной базы для заказчика. Координатор Отдела молока и молочнокислых продуктов Департамента закупок молочных и мясных изделий Согласование договоров, работа с корреспонденцией, взаимодействие с категорийными менеджерами (формирование отчетов)  Аналитик, специалист по внедрению проектов IT, преподаватель Microsoft Office, SQL, Deductor  "
1,40,1,172,0,35000,1,0,0,1,2,0,1,2964,"Экономический анализ Аналитик Основной - это рост торговой сети! 1) Составление технологии обработки информации, с целью сбора, оценки и анализа получаемой информации, а также выработки практических решений. 2) Составление технического задания IT специалистам по вопросам выполнения программной реализации поставленных задач структурными подразделениями предприятия. 3) Проверка и тестирование программного обеспечения, сделанными IT специалистами, для улучшения, доработки и эффективности использования. 4) Разработка методов и составление прогнозов для определения объёмов заказа товара. 5) Проектирование планограмм торговых подразделений (Схем с зонированием) и расчёт товарной матрицы в работающих и планируемых торговых точках, с визуализацией и учётом движения покупательского потока. 6) Определение вида и расчёт необходимого объёма витринного оборудования, заказ производителям с учётом сроков открытия торговых подразделений. 7) Заказ витринного оборудования и распределение по торговым подразделениям формирование резерва. 8) Распределение изделий по подразделениям. 9) Массовое перемещение и перераспределение изделий между магазинами по товарным группам. 10) Оптимизация товарной матрицы (ассортимента) с учётом спроса, остатков и наличия товарных мест в торговых подразделениях 11) Составление и передача, работникам склада, аналитических отчётов распределения и перераспределения товарных запасов между торговыми подразделениями с целью обеспечения эффективных продаж, оптимизации запасов и учётом специфики подразделений. 12) Аналитические отчёты: а) Сравнительный анализ оборачиваемости в динамике: в разрезе ассортимента, торговых точек, производителей б) Анализ товара без движения: в разрезе ассортимента, торговых точек, производителей в) Анализ товара по ценовым категориям с различным шагом цен: в разрезе ассортимента, торговых точек, производителей. г) Анализ товара по весу, размерам, вставкам в разрезе: классификатора ассортимента, торговых точек, производителей. д) Анализ цен конкурентов. е) Графический анализ в динамике и определённый интервал времени по ассортименту торговых точек и общем итоге (по кол-ву, сумме, долям, коэффициентам). 13) Обобщение и систематизация аналитической (маркетинговой) информации, представление их структурным подразделениям предприятия. 14) Информирование и консультирование менеджеров сбыта, других подразделений по вопросам разработки отдельных мероприятий, расчёта потребностей в торговых точках. Аналитик Вертикальный и горизонтальный анализ деятельности предприятия (оборачиваемости, доходности, остатков) по поставщикам, торговым подразделениям, маркетинговым акциям, ценообразование (управление наценками по всем группам товаров в магазинах), составлене отчётностьи для рукаводства, взаимодействие структурных подразделений предприятия. Работа с поставщиками.  Аналитик по продажам, Логист, Снабженец, IT-специалист, Экономист, Математик Компьютерные (1С, Супермаг, Microsoft Office (Excel, Word и др.), CorelDRAW, Photoshop, Сети), аналитические, технические, генератор идей - решений и др.  "
3,50,1,307,0,45000,1,0,0,1,0,1,2,2880,"Электронный документооборот Начальник участка СЭ СДТУ и ИТ Обеспечение функционирования телемеханики электроподстанций, ликвидация аварий телемеханики, обеспечение функционирования средств связи диспетчерского управления и контроля, обеспечение бесперебойной работы каналов связи. Организация и управление работой коллектива инженеров и специалистов по обеспечению регламентного функционирования и устранения аварий телемеханики энергообъектов. Результаты: Возрастание отказоустойчивости оборудования телемеханики и оборудования каналов связи, уменьшение аварийных ситуаций на оборудовании ТМ и ТК. Директор по развитию региона Организация открытия дискаунт-центров по Тверской области (бюджетирование, подбор персонала, организация работ по открытию торгового комплекса с нуля до первого чека, приобретение и организация монтажа торгового, связного, сигнализационного оборудования) с ""0"" до ""первого чека"". Начальник отдела ИТ Работа по срочному договору. Организация работ по обслуживанию пользователей: компьютеры, сеть, телефония, организация электронного документооборота, организация внешнего сохранения основных производственных документов, организация поддержания функционирования ЛВС и серверных комплексов. Директор Обязанности: Организация работы коллектива с корпоративными клиентами по информационным технологиям (компьютеры, сети, телефония, обслуживание и ремонт офисной техники), взаимодействие с поставщиками, банками, контролирующими организациями, организация работы персонала в офисе, на складе, решение транспортных и коммуникационных задач Заместитель директора Обязанности: Работа с корпоративными клиентами по информационным технологиям (компьютеры, сети, телефония, обслуживание и ремонт офисной техники), взаимодействие с поставщиками, банками, контролирующими организациями, организация работы персонала в офисе, на складе, решение транспортных и коммуникационных задач. Представитель Заказчика Организация строительства баз отдыха, коттеджных поселков, элитного жилья с ""0"" до заселения. Взаимодействие с органами власти, подрядными организациями, руководство специализированными строительными бригадами. Военнослужащий Инженерные должности в подразделении корпуса контроля космического пространства (Северный Кавказ), научные в 2 ЦНИИ МО РФ в Твери, звания от лейтенанта до майора. Командование отдельными группами военнослужащих на период решения поставленных задач.  Директор, заместитель директора, руководителя, помощник директора, руководителя, начальник ИТ-направления, отдела Хорошие организаторские способности, опыт руководства коллективом более 25 человек, умение находить общий язык с контрагентами, руководством и персоналом, умение принимать решения, ставить задачи и находить пути их решения. Создание проектов, реализация и руководство проектными, монтажными и сервисными работами по СКС и слаботочным сетям. Организация логистической и складской деятельности. Опыт установки и наладки офисных АТС (до 500 абонентов). Опыт вождения легкового и грузового транспорта более 30 лет.  "
4,35,1,188,0,25000,1,0,0,1,0,0,1,2101,"Сетевые технологии Главный специалист, Системный администратор Обеспечение информационной безопасности, Обеспечение бесперебойной работы вычислительной техники, серверного и сетевого оборудования, оргтехники, монтаж структурированных кабельных систем, удаленная техническая поддержка и консультация пользователей, администрирование серверов и систем электронного документооборота, баз данных SQL Server, Firebird во всех отделениях (45 отделений, 50 серверов WS2003 - 2008, более 900 рабочих станций). Настройка и администрирование виртуальных серверов VmWare ESXi, Администрирование АТС Alcatel OmniPCX Enterprise. Настройка корпоративной сети передачи данных (VPN) и удаленного доступа во всех отделениях, создание пошаговых инструкций по настройки серверов, сетевого оборудования и ПО для использования в работе системных администраторов. Системный администратор Ремонт вычислительной техники, оргтехники. Установка операционных систем и ПО. Удаленная техническая поддержка и консультация пользователей, поддержание инфраструктуры предприятия. Настройка и администрирование серверов. Администрирование Web-сайта предприятия. Преподаватель информатики Обучение пользователей операционной системе Windows, пакета программ MS Office, Интернет, Photoshop, 1С: Предприятие.  Директор ИТ, Технический директор, Руководитель отдела ИТ, Руководитель проектов, Менеджер проектов, Системный администратор 1. Опыт организаторской работы 2. Коммуникабельность 3. Навыки руководства, в подчинении 4 администратора. 4. Хорошие знания аппаратного обеспечения (железа), опыт сборки, диагностики, ремонта и модернизации ПК и серверов, опыт работы с RAID массивами, гипервизорами. 5. Опыт консультационной и технической поддержки локальных и удаленных пользователей; 6. Опыт обслуживания и администрирования вычислительных сетей под управлением Windows NT4, Windows 2000, Windows XP/2003/2008, (AD, DHCP, DNS, управление учетными записями и сетевыми ресурсами, настройка политики безопасности и аудита); 7. Знание принципов построения локальной сети и стека протоколов TCP/IP, опыт создания локальной сети с нуля 8. Опыт настройки сетевого оборудования; 9. Понимание общих принципов программирования, опыт написание скриптов; 10. Опыт преподавательской работы.  "
5,52,0,151,0,250000,1,0,0,1,0,1,2,6125,"IT, Интернет, связь, телеком Руководитель ИТ отдела Управление департаментом ИТ. Проведение анализа бизнес процессов, постановка задач для системных администраторов, программистов 1С, контроль расхода денежных средств по поддержке инфраструктуры компании, управление проектами. Директор департамента ИТ Основные обязанности: Управление департаментом ИТ на основе ITIL технологии. В прямом подчинении более 30 человек. В департаменте четыре отдела: системное администрирование, техническая поддержка, отдел программирования 1С, WEB отдел (Bitrix). Внедрение новых технологий, оптимизация решений для компании (front-end решение, CRM, ERP, WMS, TMS -системы, хранилища данных, бюджетные процессы и т д.) Активное участие в развитии бизнес-стратегии компании в новых направлениях и решениях. Руководство разработками технических требований, технико-коммерческих предложений, технических заданий и технических проектов. Управление сложными и комплексными проектами по системной интеграции, разработкой архитектуры систем, комплексных систем и ИТ-архитектуры уровня предприятия. Привлечение внешней экспертизы технических решений проектных команд. Оптимизация стоимости проектов и анализ возможности интеграции разных приложений, распределение задач между сотрудниками департамента. Обеспечение контроля их исполнения сотрудниками департамента, выделенными для выполнения проекта. Активное участие и руководство в разработке и внедрении ERP, WMS, TMS, CRM систем. С нуля создана группа технической поддержки. Обеспечена круглосуточная поддержка пользователей в центре и регионах (Help Desk/Service Desk). Разработана стратегия развития департамента ИТ. Реализованы проекты: 1. Создан единый информационный комплекс (ЕИК). Проведен аудит инфраструктуры компании. Осуществлена полная реорганизация инфраструктуры компании на основе облачных решений (аудит состояния оборудования с учетом требований бизнеса, выбор оборудования, проведение тендера на поставку оборудования). Обеспечена бесперебойная работа 7/24 бизнес процессов. 2. Проведен анализ бизнес процессов в компании. Предложены модели информационных потоков. Разработан долгосрочный план приобретения и адаптации информационных систем. 3. На платформе 1С 8.2 разработаны и внедрены система управления перевозками (TMS) и система управления складом (WMS). Обеспечен переход на 1С 8.3. 4. Обеспечен переход бухгалтерии с платформы 1С 7.7 на 1С 8.2 Корп. 5. Внедрен 1С 8.2 Зарплата и управление персоналом (ЗУП). 6. На платформе 1С внедрена система документооборота. 7. Инфраструктура подразделений приведена к единым стандартам. 8. Адаптирована и внедрена система управления корпоративными финансами (УКФ). 9. Реализована технология e-commerrce продаж услуг компании в режиме реального времени через сайт компании (Bitrix, MySQL, Apache) - B2C технология. 10. Разработан обмен данными с компаньонами - B2B технология 11. Разработан и внедрен KPI сотрудников департамента. Обеспечено открытие в срок дополнительных офисов компании. Директор департамента 1. Управление департаментом ИТ холдинга, оптимизация штатного расписания департамента, формирование и исполнение бюджета ИТ, информационная и техническая поддержка систем холдинга, Oracle, 1C, SQL. 2. Анализ и описание бизнес-процессов компании, аудит производственных и финансовых систем, подготовка рекомендаций по реорганизации и оптимизации информационной структуры холдинга. Поиск разработчиков производственных систем. Привлечение и контроль деятельности фрилансеров. Проведение тендеров поставщиков оборудования и разработчиков систем. Оптимизация лицензирования программного обеспечения. Руководство разработкой и внедрением корпоративного портала на русском и английском языках. Обеспечение On-Line бронирования и On-Line оплаты продукции холдинга. Выбор и внедрение системы документооборота. Руководство проектом по доработке и внедрению финансовой системы Oracle Hyperion Planning на весь холдинг. Прямое подчинение более 30 человек. Заместитель вице президента по технологическому развитию Контроль за деятельностью отдела информационных технологий в регионах. Разработка и внедрение современных методов управления отделом ИТ на основе Itil технологии. HelpDesk. ServiceDesk. Координация работы смежных отделов. Участвовал во внедрении ERP системы SAP-R/3, 1С в головном офисе и филиалах. Прямое подчинение: Около 150 человек.  Директор IT Работаю в IT более 20 лет. Возглавлял IT подразделения и департаменты крупных сетевых компаний (около 10 лет) в следующих областях: • Оптовая и розничная торговля Бытовой техникой («Эльдорадо», более 100 гипермаркетов) • Оптовая и розничная торговля сотовыми телефонами («Евросеть», 9 филиалов, более 3000 салонов связи) • Въездной и выездной туризм, гостиничный бизнес (Холдинг «Интурист», более 100 салонов продажи туристических услуг) • Логистическа перевозки грузов («Байкал-Сервис», более 50 офисов) Реализовано несколько десятков проектов, в том числе: • Построение IT службы по технологии ITIL (включая Service Desk) – 4 проекта • Реорганизация и стандартизация инфоструктуры холдинга – 3 проекта • Обеспечение информационной безопасности • Разработка WEB сайтов – 3 проекта (intoirist.com; intourist.ru; baikalsr.ru) • Активное участие или руководство доработками и внедрением ERP систем – SAP R3, 1C ERP • Руководство проектами 1С – 1С бухгалтерия; 1C УТ; 1С Документооборот; 1С УПП; 1С зарплата и Кадры и др. • Руководство проектом по доработке и внедрению финансовой системы Oracle Hyperion Planning Ориентация на технологии Microsoft: Windows; MS SQL, Exchange; ISA, Microsoft Office, Visio и т.д. Oracle, SAP-R3, 1C Формировал и контролировал исполнение бюджета IT. Проводил анализ и описание бизнес-процессов компании, аудит производственных и финансовых систем, готовил и презентовал руководству компании рекомендации по реорганизации и оптимизации информационной структуры компании. Осуществлял поиск разработчиков производственных систем. Проводил тендеры поставщиков оборудования и разработчиков систем. Оптимизировал затраты по приобретению лицензионного программного обеспечения.  Физически здоров, не пью, не курю. В коллективе сдержан и приветлив, коммуникабелен. Аналитический склад ума.  "
9,48,1,254,0,90000,1,0,0,1,0,1,1,12063,"IT, Интернет, связь, телеком Руководитель группы, старший консультант по внедрению Реализация проекта внедрения системы автоматизации ERP ""Галактика"" в АО «Транснефть — Приволга» в г. Саратов. Переход с информационной системы ИКАР на ERP ""Галактика"". Интеграция существующих информационных систем между собой. В подчинении 5 человек. Выполняемые задачи в рамках проекта: Анализ бизнес процессов; составление ТЗ; согласование с ТОП менеджментом компании, участие в совещаниях; разработка плана проектов; постановка задач собственным подчиненным, контроль исполнения; участие в тестировании; участие в обучении пользователей. Проект завершен. Начальник отдела информационных технологий В должностные обязанности входит: материально-техническое, программное обеспечение и руководство отделом в составе 17 человек: программисты, техническая поддержка, связь, системные администраторы, а также: - осуществление руководства обслуживанием информационных ресурсов компании, внедрение передовых технологий в области ИТ; - составление и контроль исполнения бюджета отдела. Ведение договоров в области ИТ, оптимизация затрат на обслуживание ИТ структуры компании; - обеспечение выполнения требований информационной безопасности в соответствии с Федеральным Законом «О персональных данных» №152; - руководство разработкой и внедрением проектов; - анализ нарушений функционирования информационных систем, разработка мероприятий по повышению качества и надежности её функционирования, расширение сферы её применения; - обеспечение бесперебойности работы ИТ-сервисов; - контроль своевременности и качества проводимых регламентных и профилактических работ; - контроль лицензирования используемого программного обеспечения; - внедрение на предприятии перспективных технологий в области ИТ.  В компании имеется порядка 350 компьютеров, 12 серверов (физических и виртуальных), настроенных под различные задачи, СКС, состоящая из проводных и беспроводных сегментов. Мною в компании был проведен анализ штатной численности отдела и инвентаризация программного, материально-технического обеспечения, применяющихся на тот момент информационных технологий и на основе этого была разработана IT стратегия с учетом имеющихся бизнес-процессов. Результатом стратегии явились: сокращение штатной численности отдела на 4 единицы за счет перераспределения функциональных обязанностей сотрудников, оптимизация расходов на услуги связи за счет применения новых технологий и тарифов (экономия по году составила порядка 1млн.рублей), пересмотр и перезаключение имеющихся договоров (экономия по новому договору Microsoft Enterprise Agreement составила порядка 1,2млн.руб.), модернизация технического оборудования, установление удаленного доступа к ERP системе компании «Lexema» (аналог 1С), модернизация имеющейся СКУД и СКС, создание новой доменной структуры и нового web-сайта компании, вывод компании в кратчайшие сроки на уровень современных информационных технологий. Под моим руководством осуществлен переход на новую телефонную станцию Panasonic KX-TDE600, внедрение IP телефонии и мобильных приложений, экономия средств составила порядка 350000руб. за год. Внедрение электронного документооборота, Service Desk. Также мною составляется конкурсная документация для тендеров. Внедрение ERP, CRM систем, OLAP. Директор вычислительно-аналитического центра В должностные обязанности входило: материально-техническое, программное обеспечение и руководство службами центра, который обслуживал все предприятия холдинга (производственные и торговые), в составе 20 человек: аналитики, техническая поддержка, связь, системные администраторы, а также: - Осуществление руководства обслуживанием информационных технологий компании, поддержка и усовершенствование локальной вычислительной сети управляющей компании, структурных подразделений и отдельных предприятий компании; - Составление и контроль исполнения бюджета отдела. Ведение договоров в области ИТ, оптимизация затрат на обслуживание ИТ структуры холдинга; - Обеспечение выполнения требований информационной безопасности, разработка положений, инструкций и проведение мероприятий по осуществлению информационной безопасности; - Осуществление руководством разработкой и внедрение проектов; - Организация установки, отладки, опытной проверки и ввода в эксплуатацию комплекса технических средств; - Анализ нарушений функционирования информационных систем, разработка мероприятий по повышению качества и надежности её функционирования, расширение сферы её применения; - Обеспечение бесперебойности работы ИТ-сервисов; - Контроль своевременности и качества проводимых регламентных и профилактических работ; - Контроль лицензирования используемого программного обеспечения; - Управление проектом по переходу одного предприятия холдинга с 1С «Предприятие 7.7» на 1С «УПП 8.2» (начало проекта), перевод других предприятий холдинга на новую версию ERP «Галактика» 8.1 > В холдинге, в саратовском и областном сегменте, было порядка 300 компьютеров, 15 серверов (физических и виртуальных), настроенных под различные задачи, СКС, состоящая из проводных и беспроводных сегментов. Мною в управляющей компании была проведена инвентаризация программного и материально-технического обеспечения, применяющихся на тот момент информационных технологий и на основе этого была разработана IT стратегия с учетом имеющихся бизнес-процессов. Результатом стратегии явились: оптимизация расходов, связанных с деятельностью компании, в том числе и на содержание IT структуры холдинга за счет ее оптимизации и унификации (например, в 3,7 раза снижены расходы на различные услуги связи), изменение структуры подразделения в соответствии с поставленными задачами, модернизация технического оборудования, установление партнерских отношений с региональным отделением компании Microsoft и осуществление ряда совместных проектов, финансирование осуществляла компания Microsoft, таких как, виртуализация на основе Hyper-V, Microsoft Office SharePoint Server 2007 - Help Desk и электронный документооборот, освещенных в электронных СМИ, лицензирование компаний холдинга по схеме корпоративного лицензионного соглашения Enterprise Agreement, перевод на новую версию имеющейся ERP системы «Галактика» и «1С», установление удаленного доступа к предприятиям холдинга, территориально удаленных друг от друга, что позволило в режиме реального времени отслеживать их финансово-хозяйственную деятельность и принимать оперативные решения, внедрение системы электронных платежей (клиент-банк), создание новой доменной структуры, создание нового web-сайта компании, вывод компании в кратчайшие сроки на уровень современных информационных технологий. Также проводилось обучение вновь принимаемых сотрудников различных подразделений и повышение квалификации уже работающих, проведение анализа финансово-хозяйственной деятельности предприятий, внедрение системы АСКУЭ, составление бюджетов, разработка всей необходимой документации и проведение мероприятий, согласно Федеральному Закону «О персональных данных» № 152, составление конкурсной документации для тендеров, был членом тендерной комиссии, проработка схемы видеоконференцсвязи и СКУД, модернизация СКС, определение перспективных направлений развития IT системы холдинга. Аудиторской компанией Danik Consulting Group была проведена проверка выполнения условий по соглашению Microsoft Enterprise Agreement, которую холдинг прошел успешно, нарушений не выявлено. Начальник отдела автоматизации Состав отдела в количестве 5 человек. В должностные обязанности входило обеспечение бесперебойной круглосуточной работы автоматизированных систем на данном производстве (1С:Предприятие 7.7 и 8.0, ПК «Производство»), своевременная реакция и исправление возникающих проблем с целью минимизации убытков, составление бюджета отдела на развитие информационных технологий и поддержание уже имеющейся системы, переговоры с подрядчиками и организациями по перспективным направлениям развития информационных технологий в организации, реализация проектов автоматизации и управления этим процессом, анализ и оценка договоров с подрядными организациями, составление отчетности по использованию денежных средств согласно бюджету отдела. На данном предприятии было порядка 100 компьютеров, 7 серверов (почтовый, SQL, 1C «Предприятие», видеонаблюдения, файл сервер и.т.д.), СКС. Достижениями на данном производстве были: вывод из кризисного состояния отдела автоматизации в кратчайшие сроки, минимизация убытков предприятия за счет повышения качества работы отдела, определение перспектив и направлений в развитии информационных технологий и автоматизации производственных и управленческих процессов на данном предприятии, полный перевод на лицензионное программное обеспечение, четкая организация работы отдела автоматизации для выполнения поставленных задач. Начальник отдела ИТ Составление бюджета на содержание и развитие информационных технологий, модернизацию имеющегося оборудования и программного обеспечения, планирование и формирование внутренней финансовой отчетности согласно смете расходов; управление персоналом из 70 человек (с учетом управлений ПФ, расположенных на территории области и города; непосредственно в отделе 14 человек), постановка задач и принятие управленческих решений; разработка конкурсной документации и технического задания к ней для проведения тендеров, был членом тендерной комиссии; переговоры с подрядчиками и организациями по перспективным направлениям развития информационных технологий в организации; реализация проектов автоматизации и управления этим процессом; анализ и оценка договоров с подрядными организациями; модернизация корпоративной сети передачи данных с наращиванием сервисов и ресурсов, обеспечение силами отдела работоспособности 1850 шт. компьютеров и серверов под различными ОС: Windows 98, 2000, XP, Windows 2003 Server, Linux, OS/400, Novell Netware, Lotus Notes, разработка программного обеспечения отделом под различные СУБД. По освоению денежных средств составлялись финансовые отчеты и передавались в ПФР г. Москва. Заместитель начальника отдела автоматизации В должностные обязанности входило: замещение начальника отдела на время его отсутствия, составление бюджета на содержание и развитие информационных технологий, модернизацию имеющегося оборудования и программного обеспечения, проектирование локально-вычислительных сетей, сопровождение программы «1С Предприятие 7.7». Главный специалист отдела автоматизации Программирование и сопровождение имеющихся программ Инженер-программист Описание бизнес-процессов предприятия, разработка ТЗ для отдела программирования.  Директор по ИТ / Руководитель ИТ-отдела / Начальник ИТ-отдела Крупные проекты: 1) Построение с нуля корпоративной сети передачи данных, которая объединила 44 точки (управлений) в районах области, с возможностью передавать данные, голосовой и видео потоки. Разработка проектной документации и технического задания на эту сеть, подбор оборудования. На данный момент сеть построена, идет ее модернизация, с наращиванием мультисервисных ресурсов; 2) Внедрение ERP систем: 1С Предприятие 7.7, 8.0, 8.2 на различных предприятиях, а также и других систем; 3) Внедрение ERP системы ""Lexema"" (аналог 1С); 4) Внедрение ERP системы ""Галактика""; 5) Создание системы хранения данных, которая позволяла бы оперативно и своевременно получать различную информацию по конкретным запросам; 6) Корпоративное лицензирование группы компаний «Нарат», ОАО «Саратовстройстекло» по соглашению Enterprise Agreement и вывод компаний в кратчайшие сроки на уровень современных информационных технологий; 7) Создание отдела с нуля, вывод любой компании на уровень современных информационных технологий, оптимизация затрат на ИТ структуру.  Компьютерные навыки: Знание и работа с «1С-Предприятие», «Галактика», «Lexema», Windows server, работа с правовыми системами: «Консультант плюс», «Гарант», технологии Service Desk (стандарты ITIL); ГОСТ Р ИСО 20000,17799; разработка тендерной, проектной документации (технической и управленческой); технических заданий; знаком со стандартом ИСО 9000, с оборудованием Cisco Systems, AVAYA, IBM, различными СУБД; - работа с пакетом Microsoft Office, с Windows 98/2000/XP/Vista/7, программирование и прочее.  "
