,address,categories,conditions,duties,employment,experience,name,requirements,salary,url
0,"Москва, Петровско-Разумовский проезд, д. 28","Специалист IT, Административная работа, секретариат, АХО","Оформление в соответствии с ТК РФГрафик работы: пятидневный с 10-00 до 18-30Стабильная заработная платаЛьготное питаниеОфис в пешей доступности от метро ""Дмитровская""Молодой коллектив и комфортная рабочая атмосфера ждут вас в нашем офисе","Обработка телефонных/письменных и прочих обращений как внутренних пользователей так и внешних Компаний;Регистрация обращений в системе регистрации заявок, контроль исполнения;Оказание первичных консультаций и решение проблем. При невозможности самостоятельного решения, анализ проблемы и направление заявки на вторую линию поддержки;Ведение информационной базы в системе HelpDesk;Контроль выполнения заявок специалистами 2 и 3 линий поддержки и аутсорсинговыми Компаниями;Ведение документации отдела.",,полная занятость,Ассистент руководителя ИТ отдела,"Образование: неполное высшее, высшее;Грамотная речь и письмо, хорошая дикция;Желателен (но не обязателен) опыт работы в call-centr, клиентской поддержке, службе технической поддержки и т.п.;Знание ПК, информационных технологий, систем, программного обеспечения на уровне продвинутого пользователя;Личные качества: активная жизненная позиция, вежливость и доброжелательное отношение к пользователям и Клиентам компании, коммуникабельность, внимательность, ответственность, стрессоустойчивость.• Неполное высшее образование",30000—33000₽,https://www.superjob.ru/vakansii/assistent-rukovoditelya-it-otdela-31657579.html
1,"Уфа, ул. Айская","Специалист IT, IT, Интернет, связь, телеком",,"Высшее ИТ образованиеНеобходимые профессиональные навыки:Желателен стаж работы в сфере информационных технологий от 1 годаОпыт реализации проектов автоматизации предприятий, сложного технического оборудования, ПОЛичные качества:Коммуникабельность, способность урегулировать конфликты, умение четко и внятно излагать свои мысли (как устно, так и письменно), грамотный русский языкОтветственность, внимательность; способность контролировать несколько проектов (задач) одновременноСистемность мышленияСтремление расширять свой кругозор, желание и умение обучаться, повышать профессиональный уровень• Высшее образование",полная занятость,опыт работы от 1 года,IT-специалист,"Оформление в соответствии с ТК РФ, испытательный срок 3 месяца.Оклад + премии (зарплата, перечисление на банковскую карту 2 раза в месяц)Обучение в процессе работы, возможность профессионального и карьерного роста",20000—30000₽,https://www.superjob.ru/vakansii/it-specialist-28795422.html
2,Санкт-Петербург,"Специалист IT, IT, Интернет, связь, телеком","Работа в иностранной крупной и стабильной розничной компании• Фиксированная зарплата + доплаты за транспорт и сотовую связь.• Ежегодные премии• Оформление в соответствии с ТК РФ, оплата отпуска и больничного листа• График работы: 5/2• Добровольное медицинское страхование (после 1 года работы)• 30% скидка на всю продукцию торговых марок Mothercare, Starbucks, Next, M.A.C., The Body Shop, Victoria’s Secret, Bath & Body Works, Jo Malone, Bobbi BrownМесто работы: м. Спортивная, Василеостровская, 5 минут от метро. БЦ Сенатор, 7 лилия дом 76Полный рабочий день","Администрирование и прокладка ЛВС, техническое обслуживание ПК, ККМ (касс), системное и офисное ПО.Подключение, настройка, техническое обслуживание специализированного торгового оборудования (сканер, принтер шрих-код, фискальных регистраторов)Обучение и консультирование пользователей,Дежурство на телефоне, помощь в устранении неисправностей в розничных магазинах через удаленный доступ и с выездом.",,полная занятость,"Системный администратор, IT-специалист","Знание Windows XP/ 7/8/10, Windows 2003-2012, пакет MS Office на уровне Администрирования.Понимание принципов работы локально- вычислительных сетей на уровне администратора.Опыт работы с активным сетевым оборудованием (например, d-link)Знание (AD, DNS, DHCP, GPO)Желательно права категории В и машину, разъездной характер работы.",50000₽,https://www.superjob.ru/vakansii/sistemnyj-administrator-31653058.html
3,"Екатеринбург, ул. Бажова, д. 193","Руководитель отдела, IT, Интернет, связь, телеком",- корпоративное обучение;- компенсация питания.,"- запуск IT-отдела с нуля;- взаимодействие с интернет-провайдерами;- помощь в организации сетевой связности;- установка и подготовка рабочих станций (на базе OC Linux);- обеспечение офиса необходимой для работы техникой;- обеспечение бесперебойной работы IT-оборудования, телефонной связи, интернета;- организация взаимодействия отдела с главным офисом компании;- проведение собеседований (в том числе и технических);- руководство командой в качестве «играющего тренера»;- ведение отчетности.",полная занятость,опыт работы от 3 лет,Руководитель IT-отдела,"- опыт работы в области системного администрирования (руководящий опыт приветствуется);- знание и опыт работы с ОС Linux;- знание сетевых технологий;- умение правильно ставить и делегировать задачи подчиненным;- знание английского языка (не ниже pre- intermediate);- готовность к командировкам;- будет плюсом опыт формирования команды, понимание процесса разработки.• Высшее образование",80000₽,https://www.superjob.ru/vakansii/rukovoditel-it-otdela-31632585.html
4,Рязань,"Специалист IT, IT, Интернет, связь, телеком","Трудоустройство согласно ТК РФ, соцпакет.Конкурентная заработная плата.Стабильная развивающаяся Компания.",1. Принимать звонки от пользователей и перенаправлять соответствующим специалистам ИТ-отдела2. Оказывать Пользователю консультацию в рамках своей компетенции,,полная занятость,Специалист IT-отдела,"Опыт работы в IT -сфере желателен.Активная жизненная позиция, нацеленность на результат.Уверенный пользователь ПК",25000₽,https://www.superjob.ru/vakansii/specialist-it-otdela-31432962.html
5,Москва,"Специалист IT, Строительство, проектирование, недвижимость","Место работы: м. Белорусская;График работы: 5/2Заработная плата от 49 600 руб.gross;Оформление по ТК РФ, полностью ""белая"" компания","Проведение ежедневного мониторинга технического состояния всех систем парковочного оборудования, выявление технических неполадок и их устранение;Выезд на плоскостные парковки для устранения сбоев в работе оборудования;Ведение отчетности;Управление парковками через удаленный доступ с помощью программы Teamviwer;Проведение ТО оборудования;Проведение инкассации (техническое обслуживание без соприкосновения с денежными средствами)",сменный график работы,опыт работы от 1 года,"IT-специалист по эксплуатации парковок (слаботочные системы, видеонаблюдение)","Опыт работы с парковочным оборудованием Skidata, Scheidt&Bachmann, Designa, GreenCenter, Came, Трансакта, АСКТ приветствуется;Опыт работы с настройкой локальных сетей и интернет соединений;Знание слаботочных и силовых систем;Умение работать с электрооборудованием;Нацеленность на результат;Готовность к разъездному характеру работы;Уверенный пользователь ПК (Teamviwer).• Неполное высшее образование",49600₽,https://www.superjob.ru/vakansii/it-specialist-po-ekspluatacii-parkovok-30831324.html
6,Туймазы,"IT, Интернет, связь, телеком, Инженер","Работа в крупной российской компании, работающей на рынке более 20 лет;• Преимущественно разъездной характер работы;• График работы: 5/2, скользящие выходные;• Официальное трудоустройство с первого дня, «белая» заработная плата, оплачиваемые отпуска и больничные листы;• Заработная плата сдельная. Зависит от количества выполненных заявок. В среднем 35 000 гросс;• Оплачивается ГСМ и амортизация;• Скидки на товары Компании и партнеров.","Поддержка пользователей: как удаленно, так и с выездом на торговые точки;• Техническая поддержка компьютеров и периферии: сборка, настройка, внедрение;• Обслуживание терминалов оплаты: диагностика, ремонт;• Отчетность по использованным материалам: контроль остатков запаса ИТ запчастей и расходных материалов.",полная занятость,опыт работы не требуется,Инженер IT,"Профильное образование как преимущество;• Знание аппаратной части ПК, прикладных систем, сетевых технологий;• Готовность к разъездному характеру работы.",35000₽,https://www.superjob.ru/vakansii/inzhener-it-31614529.html
7,Санкт-Петербург,"Специалист IT, IT, Интернет, связь, телеком","• Оформление по ТК;• Рабочая неделя 40 часов, плавающие выходные, две рабочие смены с 09.00 до 18.00 и с 13.00 до 22.00, иногда работа в ночные смены• Полный соц.пакет (льготное питание и ДМС)• Работа на территории работодателя• Офис м. Парк Победы",• Удаленная поддержка пользователей:Обработка обращений пользователей в виде заявокОбработка телефонных звонков пользователейОказание консультационной поддержки пользователям• Решение заявок в рамках своей компетенции (решение технических и программных проблем)• Маршрутизация заявок• Координация решения проблем/взаимодействие с другими уровнями поддержки в России,полная занятость,опыт работы от 1 года,Специалист по ИТ,"• Среднее специальное или высшее образование• Высокие коммуникативные навыки, грамотная речь, аккуратность, ответственность• Твердые знания современных операционных систем Windows, стандартного офисного программного обеспечения (Advanced user)• Удаленное администрирование• Знание сетевых технологий, принципов построения локальных сетей• Желателен опыт работы в аналогичной должности• Среднее специальное образование• Английский язык (технический)",40000—50000₽,https://www.superjob.ru/vakansii/specialist-po-it-30914324.html
8,Волгоград,"IT, Интернет, связь, телеком, Специалист","Полный рабочий день, с 9 до 18, (оплачиваемый отпуск 33 к.д. + квартальная премия)","Администрирование сайта, Обработка электронной почты",,полная занятость,Оператор ПК / Специалист IT,Среднее специальное (информационные технологии) или высшее образование.• Среднее специальное образование,15000—20000₽,https://www.superjob.ru/vakansii/operator-pk-31657062.html
9,Уфа,"Специалист IT, IT, Интернет, связь, телеком",График работы 5/2 с 09.00-18.00 ч.Работа разъездного характера,"- работа в программе 1С;- работа с контрольно-кассовой техникой online;- оборудование и обслуживание кассового места в розничных торговых точках – контрольно-кассовая техника, весы, эквайринговый терминал для приёма карт и др.;- установка и техническое обслуживание оргтехники и систем видеонаблюдения в розничных торговых точках;- разработка инструкций для продавцов по пользованию кассовым и тех.оборудованием, контроль за его использованием, обучение продавцов;- участие в проведении инвентаризации;- проведение контрольных проверок в торговых точках",полная занятость,опыт работы от 1 года,"Системный администратор, IT-специалист",• Знание программы 1С• Опыт работы с касами оплаты• Навыки системного администрированияЛичный автомобиль• Водительские права: B,30000₽,https://www.superjob.ru/vakansii/sistemnyj-administrator-11794391.html
